0	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
2	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
3	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
4	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
5	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
6	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
7	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
8	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
9	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
10	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
11	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
12	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
13	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
14	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
15	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
16	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
17	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
18	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
19	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
20	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
21	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
22	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21

